user,commentText
Memory of Light bent,Do not trust any vehicles. Ever.
Jesse Velilla,So nice ty. I'm having a blast.
Cape Savage,Excellent vid man
Mage of Exoduz,that potato
Ki113r5 4R3 84CK,I got a fortnite ad on this....
OriginalPretor,"It is not ""watertown"" dude, it`s ""sunken"" hehe ;) Any other?"
Hussain Ahmad,"he did show the punching tires twice but some people had there audio off cause they did not listen to what he said.Here's what he said 
1st time:
if u are in a situation where u are using vehicle as a cover and u do not have gun then break the tires as this will lower the vehicle and u will not be able to get shot below the vehicle
2nd time:
if u wanna make it difficult for your enemy to escape then break all the tires as breaking only one or two still allows your enemy to escape with vehicle.

the guy did a fantastic job making this video."
preben nielsen,New players should not watch this. So much of this is no longer valid or correct.
danraz0r Alice,thank u man!! <3
Massaro Gamer,11:12 what ???
Mr Peco,@5:04 lol stupidest crap i ever saw lol funnyy
Taka,Could you please update this movie for latest version of pubg?
Astuteous Maximus,"I feel for new players coming into this game. The game has matured and levelled out to a point where what you now have is mainly experienced players who have been playing since beta or close to it. Most players you'll come up against know the game like the back of their hand. They know all the loot/vehicle spawns, they know the weapons and when to use what weapon, they know the little tricks such as jumping off of the apartments onto the second floor to get a better weapons before you come down the stairs with your pistol lol, they know the map and terrain inside out along with maximum parachuting efficiency meaning they can get anywhere as quickly as is possible, they know the direction that players will most likely be coming from, they know the circle strategies etc etc. 


The SR's are OP in this game and will one shot even a level 2 helmet and this is what you'll be dealing with allot of the time. They know the best loot spots with the highest probability of getting an SR. You won't even see the player who kills you allot of the time. They definitely need to re-balance the SR's in this game. A level two helmet should be able to withstand one head shot although your health should then be depleted to something like 10%/20%. If you get it tot he face then sure, it's a one shot kill.


As a new player, these guides are useful for teaching the basic mechanics but beyond that, the only way to get competent is to play play play and learn by your mistakes. It's a long and often frustrating process because you're having to learn about the majority who already know it. The root problem is that there aren't many new players coming into the game now."
Pizza Pozz,Great video
Curtis Barker,You say God's name in vain as if their will be no consequence's for it...it's Likely why you got a thousand dislike's watch your dirty mouth! ya heathern
Vikartan Sood,"Which emulator are you using?
Rendering is excellent😊"
Monika Tamang,RON I AM DOWLODING ARK SURVIVAL IN MY PHONE
Abdullah Hafiz,"Im buying pubg, so thanks mate!"
taps031204,Do a 2019 version
SNS vines,nice bro
Leo Sankovic,you need to do another one of this :D
Matthew Read,"0:25 
Allah Akbar!!! 💥"
xIanF10x,"Did he just mentioned the ""punch tire"" tip 3 times?"
J0ntt9,Thank you for this video. I watched this while my PUBG were downloading.
TheLionBoss,I love your voice its so chill 🤤
Ben Tennyson,Too much ads
Hentai Senpai,Why are you legit sound like VietCong666
lynxsOG,we did it bois we reached a quarter of a million subscribers
shamim miah,Today i got my first flare gun ✨✨
A nigga With an attitude,Please do one for pubg mobile
Eja Tuliabu,How to drop one by one thing from inventory at a time and walk
Krosis Games,"Dude, you are giving facts and obvious stuff, 90 obvious crap while only 1p were usefyl -_-"
NIGHTCORE sensei,"meeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeek!






lol"
KudosK,Press F to heal your teammates.
10OOXOO0 1,I subbbeeddd👍
Lewis' Channel,"In call of duty and most popular shooters, suppresore compensate damage and/or range"
RageDarkPrince,additional tip(S): Always check out Fugglet for new tips ; wackyjacky101 is a good source too
Suscroober333,Am I the only one who changed their crouch keybind to control
Proud internet citizen,"If you want to get more wins, every battle, rotate regions, since you have a different rating in each region and it will match you with people below your true level, however this (obviously, this is half the point) makes your rating increases slow to a crawl. So choose, do you want that tasty chicken feast, or that sweet conquerer title?"
Proud internet citizen,“Just crawl on out before they touch your butt” XD quote of the month
Cristiano Sabian,Thia video deserves 200 million viwes
Banned Videos,"https://youtu.be/u8YYOEz66Zs
Best mk14 kills ☝️"
Max Media Solutions,Man this tips are GOLDEN! Thank you so much man!
dj G.H.M.A,What about mobile
VERIFY,So good information thanks!!
Camila Perrenoud,"""it's doable and it's useless"" wow I didn't know you'd be talking about me on this video"
SamGamingYT,I Subcribe!
Zry Gon,Nice tips bro
Just a TØP Fan,11:30 pOtAtO
GAMER ZONE,"Only 5.0% People Know About This Tricks Pubg Mobile 5 Secret Tips and Tricks | GAMER ZONE
https://www.youtube.com/watch?v=q0O8JRlwe0Q&t"
Josef Lazaro,You forgot to say that Suppressors actually make that Specific Gun Stonger
PoolBhai,Punching Tires Done Twice !
Tiago8v,TOP! Many thanks mate! ;)
Christoffer Eriksson,8:35 neither can you IRL. Just like with the trees. What did you expect?
NotTeddyGaming,Tip number one have fun playing PUBG
Djarlian,i like ak spray lmao
Mr. carmander the beast,I got 17 kills one time =:l
InSAnitY,"Lol captions picked up ""f*ck map"". Lol"
Hashantha madu,like your voice and talking style its nice dude
CeilingDoorManHold er,Suppressors in real life increase damage and velocity. Call of Duty was way wrong
Toxic Pixel,Congrats on 400k subs dude
MR muscle Gaming,thanks for the tips m8 :D
GodOfNoice,10 more subs and you're at 400k. Make that 9 more
INTOUCHABLE,Learned so much from this
xylo Du Couteau,YOU SOUND FUNNY HAHA
Kristian Torres,0:22 did he say pervert in Japanese?!
Ngabu Chale,Thanks man gg video
Hoff The Great,Great content.
MhaZG,So nice voice!!
MUHAMMAD YAWAR IFRAHEEM,Very nice videooo
Jess Jacob,can you tell all keys for pc  pls
Kakgamer,how to change from tpp to fpp
Fumy /Nagisa,5:03 that trick was nice tho
Toshihiro Kun,nice
Aaron Lippincott,this is one of the most incoherent pubg tips videos I've found yet
Aaron Lippincott,"7:03 there's two ways to do this
yet this isn't defined"
Bengt Johansson,"Thank you Fugglet for all the good advices, even though my memory have hard to keep it all.

One thing that came to my mind regarding as a tip is to NOT stay close to a wall, door or anything that can reveal your present and location. The reason is that parts of you and / or your gun might be shown on the other side of the wall or door do to a ""glitch"" in the game. That is something I come to think of when I started play PC-games online back when Call of Duty & United Offensive expansion pack came out. That ""glitch"" is something I come across in many FPS games during the years, so now I always stay some 1-2 feet out of a wall if needed."
The_ MiST,Thanks GG vid
Dwayne,What about Mobile version? Is it the same thing?
Atul vashishta,Amazing man... thanks
Muy Muy,Should i buy PUBG
syed ahmad,how u first person in pubg without guns or anything
Charles Dipson,CMON GIVE US THAT SONG LIST !!!!!!!!!!!!!!!!!!!
TheCentaury,Some tips are not true anymore... like crouch running in water
flightMC,Watching this before Blackout drops!
Karthi mk,👌 I play pubg mobile but this tip awesome
Jerry Yang,"11:23 if you knew not to do that when you first started playing pubg or any other game 
Ur smart






P.sI did that when I play it the first time so yay 

P.s.s like if you did too"
SpaceCadetLaC,I play fork knife but I subbed cuz I will get pubg soon.
XBase Aquino,"WOW! THANKS TO YOU, I NOW GOT 13 WINS!!!"
RöH17 plays,I subbed buddy🙋🙋🙋
FUCK TSHITRIES,Thanks of the tips
jake paul,Play pubg with me
ItsVery Dank,Nice video!
PzRE,You helped for me a lot because I have 8 hours on this game.. My best kill streak in this game is 3 sooo its good? :D
SeekNDstroy 404,"HELLO?!
DOES ANYONE HERE KNOW THE TITLE OF THE SONG AT 11:55?
DOES ANYBODY KNOW? THANKS IN ADVANCE"
FelixHyro,"""The S12K can carry a 15x, 8x, anytime""
-Fugglet few years ago"
george_the_meme_man -,Your voice annoys me
Ku Muhammad Amirul Syahmi,This might works to me get a winner winner chicken dinner
Sircade,We need an update version
菌白,Why does my QE peeking have shorter peeking range
Ritthikiat Wongpan-ngam,This is like Pubg ASMR
Nash Barber,Lol u said punch tire twice
HARSH SINGH,how to get airdrop?
Procrastinator,see your snips !!!! didnt know that thx!!!!!
Vijayasree Abhimalla,Enemies in the house! Shoot the doors and bomb them
Dhruv Saxena,whats the song at 17:33
Help Meh Its A Potato :D,I saw a fortnut ad wow
YaFriendTV,"Man that flashbang tip helped me in tons of situations, and also the vehicle related tips, big thanks to fugglet, ur the best, the funniest, the cutest gamer ever, keep it up man!!!!!"
Kweakop,Thanks bro
Elis Wesnog,He talks like bob Ross 😂😂😂
E.K Studio,1:47 how do you do that???? Pls tell me
Ady,You voice is actually so calming
Jake Abejuela,I was watching this video on release and just yesterday my whole squad was killed by Fugglet!
Ayse Besra Bicak,"I'd add
Balconys are better than rooftops at sniping cause rooftops are fully open and you are so visibleand shootble but at balconys its harder for someone to shoot you"
Curt Dylan,Also if u need loot you can kill your teammates an take theirs
WarrantDivision,Swimming on the surface and third person is faster than swimming in first person. You kind of tread the water in first person.
n00bg BNO,Excelente
Quan Nguyen,good effort
[ boiledfries ],Downloaded the vid
Joaquin Gaming Master 2,Everyone is stupid all sniper rifles 2x 4x 8x scope but assault rifles are always red dot.
Sampl_456,Your commentary is literally the fucking best.
altijd saai,this was uploaded on my birthday :)
xMARiiJUANAPRiiD3x xDOPAMiiN3x,Yu repeated 3 time abt blowing the tires hitting them with yur hand
2pm hottest,Always. Grab scopes
Thiện Tống Nguyễn,"16:27
It's not just nice, it is COMMUNISM"
Night Godd,You sound like one of the voice overs on interdimensional cable from rick and morty
Night Godd,Instant sub
le lenny,3:52 REEEE
Oscar Jacobo,you sound and talk like the guy from blues clues
Shivam Sharma,Love your tips bro thanks😘
i am the tired,the music is fucking lit. what is it called? literally going to break my bed from jamming to it
FugalFive 4798,Hint: Don't die
SomeRandomBoi YT,Who else had a ros ad?
PRO-TONE,I didn't understand the 'drunk bridge architect'
William van den Berg,Sce
Dr.Zoidberg,You sound like a mafia man
Comsir Juggernaut,I like how you can’t shoot though water because than happens in irl too
John Watters,Just a little rock paper scissors joke for ya here
MidnightRage,"And have A nice day
Me:its night...."
Anzel Rams,The anoying eeeeehhh. Lol
Yash Agarwal,Pls speek hindi
dakota krueger,Who the fuck aims at the sky
Muhammed GA,Which map is this gameplay in?
ThrasherTheKid,3 man bike is not a death trap is you shoot and flatten the third tire (It´s way less bouncier therefore reducing your chances of bounce to death on cliffs).
Da d,THANK YOU SO MUCH YOU ARE A LEGEND
Random Choclate,Are u a malaysian??
Andrew l,me & my friend hiding behind a tree then a sniper shoot the helmet level 3 maybe 250 metre away luckily I Alive but the helmet broke somehow
Zeppy,BOOO PUBG WE WANY FORTNITE
RilBitz,"No 1, play ros 



XD jk guys pubg is lyfe ros is shit"
Its Toki Bruv,00:48
bbit che,Pubg made in korea?
TheMineAxel,nice hack bro 5:24 to 5:25
Anttwone Wallace,Lay down in the grass
Pink Panther,14:38
Madnium,"I think this is a tip, that you miss.  At the early game, always keep some 5.56 and 7.62 ammo if you find it, even if your current gun doesn't suit this type of ammo."
Raph _R6,"Wait... the intro is practically the same than coconutbrah. But anyway, this is the coconutbrah of pubg nice vid"
mung boih,How do u cook gernades in mobile?
mung boih,"Ill come back in an hour, gotta prepare myself"
Khang Nguyễn Phúc,After this video 23 peoples in the match will focus for the 1th airdrop :))
Där der,"the ""keep compensator"" one made absolutely no sense at all"
Javier Hernandez,Now do mobile
lol lOl,"you spelled “peek” wrong, you spelled it “peak”"
Un1d3ntified,what settings do you use?
Polocs,DUDE you said you could punch tires 3 times in the video.
Skye,"""u can punch a tire with your fists"" 1000x"
sk8ingthemystery,what the hell is that accent
Blyat,"0:22 who heard ""Hentai"" ?"
Divya Ashish,also if you and your teammates are on low hp at the last 4v4 then screw hide somewhere like in those weird sheds that are one room and appear on roads
Flo,"04:00 ""set view distance to very low"" I disagree, you can't see vehicles or buildings from far with that setting. Many people have recommended to set everything at low or very low depending on your PC but keep view distance to high or ultra."
osc w,"bruh ur voice is calming and i legit watched this whole video because it was so good and not annoying, and I didnt even skip ahead with the arrow keys"
fuzywazacolin,Before they touch your butt? 2:00
Marat V,"watched a half of this ,nothing useful"
Mazdow,Crouchjump still works 👍
Killergaming,"""Flip car with nade"" you did put my cousin's name lol XD"
Nath Liwa,~what is zeroing?
SGsuck,does anyone else has that massive heartbeat rate when you're in the top 3? I can't even react properly then
Devoeh,"https://www.youtube.com/channel/UCKvQ5DKCYaF4ZmG9xqqhtlw
Thanks for subscribe"
Tokumo YT,"gives teammate an item

Me: Dude im knocked down!

Teammate: Never revives you"
OGshots,this video was so helpfull
BOT kevin,How do you chabge youre prespective in the game?
Human Being,Mobile tips??
mikael,Lol 300k now
I'mTheToast,2:20 it really helped thanks.
PRINĆE x,I'll use this for pubg mobile. Thanks for the tips🏆
i SHOUT,Some are reapeated
Nikola Brkljac,Thanks you made my whole gamong experience better
Sahas Arya,7:18 LOGIC????
SloppyPancake66,Not being able to shoot through water is actually true to life.  Adam and Jamie tested this on Mythbusters.
Patrik Käpyaho,295k*
Jxni,great video just made chicken dinner
callum wilkinson,whats the music called at the start of the vid? ps KEEP UP THE GOOD WORK DUDE
Moba players,Thank you !
XtraMemicLmAO,i use shadowplay too :D
F. B. I.,"If you pull the pin on a flash grenade and hold it, it will not flash you but will flash your enenies"
Cade Harren,Very well done video and I didn't get asked about a giveaway so nice job!
Leftfield Larrikin,You make less noise if you take your shoes off
FiqripakeQ _,"very helpful and I'm very happy to watch this video. keep it up! 
i'm your new subscribers by the way 😁🔥"
John PV,You are the best player in pubg ....pubg king
Jei Chrile,"I knew all of this but NOT because i'm a game addict, it's because I won in my first game (Duo)"
Russell [ P C R ],Does it work in pubg mobile as well?
Luke CORPS,8:24 I did that with the 3 person bike...
JKE TheDany,"holy shit ty very much that tips is so cool, i am gonna use it because it.s usually"
Paulo Lores,"Great YouTuber, btw how old are you?"
Aesthetic Boye,"In PUBG - throws grenades to flip a flipped a car
In real life - throws grenades to blow up a car"
Aesthetic Boye,"In PUBG - throws grenades to flip a flipped a car
In real life - throws grenades to blow up a car"
Toq,"""In a low place, airdrops will take longer to hit the ground, in a mountain, airdrops will be faster to hit the ground"" No shit, Sherlock."
Joshua Symes,Thanks for this video!
James Jairus,Thanks that made me a chiken dinner!
Almir Shabani,Wait wtf there was royalsky
Kurt Carlo Camacho,I can control ak recoil better than m416 :v
Stephanas Abhishek,music at the beginning?
Anonymous City,Excellent Tips
Sam McClintock,Play aggressive on the smaller side of the circle when it's small
The Bush That Could,Your player model runs faster if you don't have a weapon equipped
The Bush That Could,Another tip play very aggressive most players expect you to stay behind cover hide in bushes and generally stay away from them but if your very aggressive and you hunt down everyone you see they'll get scared and there shots won't be as accurate
Frostborn The Icewing Hybrid,Congrats dude I be shakey because I was watching a scary video and brrrr
Fujidew,"The thing regarding view distance has changed since recent updates. You will want your view distance on at least medium as the further out trees and buildings will not have the correct models, so anyone hiding at one is going to be harder to see. At least, this was the case for me.

Also, you no longer have to wait for the tick on bandages. It stacks now... Thank god haha. This game seems to change quick"
GoodByeNinja 1,Bikes are the worst!!
CFL_ Finn,"Awesome ^^
U put punching tires twice btw :)"
Mahd,"""pwepol might not fwall fow it"""
JakeReeco is gone - Furafura will be back!,"As this video helped me a lot with getting better in this game I wish you could make an update of this as some tips and tricks won't work now because they got patched :)
Greetings from Germany Fuggman, you're amazing =)"
RedCade,"Yo help me, I have a gtx 1060 but how do I get shadowplay? Any help will he useful"
Original Matt,I actually love your voice
eXT_Innocence,"""I don't know why people think the crossbow scope means 5, 10, and 20"".... do you think maybe because it says 5, 10, and 20?"
Fun Korean Person,"Server:2 players left
Me:wow my car is.... NOOOOOOO!!!!! You betrayed me car y u explode for no reason"
Zed,Does anyone else wonder that why he wear a skirt?
Brandon Anders,"I'm so glad I stumbled upon your videos. You're hilarious, good as f, and entertaining. Thanks alot man."
操Cray,Legend
Jesus Vas,Music at 19:20
Hector,The motorcycle is cursed
Łøūdłöfęŷêds The second,Fortnite
Black Yennefer,"Fugglet, I want to bring to your attention plagiarism of your video.
https://youtu.be/Piv2UFrfpKU
https://youtu.be/pmriYBL7UfA"
Thanotrick,what is zeroing?
Kelpo,I have way to many suicidal thoughts.
Meowcats,What is vaulting?
MC Gaming,"You did punch out tires twice. LITERALLY UNWATCHABLE /s

good vid!!!!"
TheBigboy453,You said punching tires twice
Crispy Dabaroni,you punched the tires out twice for two separate tips
Crispy Dabaroni,spelled parachute wrong
Tech Hunt,Who else watching these knowing you suck because youre an ass at aiming
Dorian Melrath,3:26 learned that my self but thanks anyway
JK Team,Bro... The best 20 minutes of my life... I swear..
Tig3R,punch tires was twice
Agent 69,16:40 id bring you the rank 3 helmet fam
BladeCatcher,Do you plan on doing an updated version of this? or is there one?
i_like _to_chill_,Great video thank you subscribed
Subscribe to: iluminousTV,For some reason in watched to the end
Lucas Tseh,if you catch the airdrop on a car you can drive around and take it with you
JaXa GAME,You can still crouch jump by using jump only.
Curtiss Kaufman,Thank you for actually having video examples of what you are talking about.  Other tip videos are just a guy playing through a game and whats on the screen doesn’t relate to the tip at all.  It’s absolutely useless so thank you for putting in the time.
Amar Original,Background music??
pronotfound,"I counted, its 99"
Paul Khoury,Thx fugglet keep it doing
Chiel Vd veen,nice
Xx_CrazyJEmery_xX,Your awesome keep up the good work
Game to victory,At 10:13 you said fuckin idiot
Eddie CS,You said punch out tires twice
Mediocre N7,What is S key for Xbox?!
Raskemus,thx <3
Revior,How To Get AWM In Early Game: ALT+F4
hakimemueren,FUGGBOI!! Your confidence is so apparent in your newer videos compared to this. LOVE FROM SINGAPORE!
Lalo,15:34 it feels like kameshki was added like 2 weeks ago... i feel so old now :(
zane gary,When shooting someone crouch to reduce recoil
Fappinfap,"you miss 1, when your driving at 60km press F to boost to reach 120km"
Oshri Zohara,You said to punch out tires like 4 times
erik nilsson,1:03 i cant do it. Pls help. I either do it too early or too late.
Lucian Andries,100 tips??? Are you sure? I counted 87..... You owe us 13 more. :)
mario martinez salazar,tu crees que podrias hacer esto a menudo?
hazetank,awesome tipps :3
Isabel cortina,has visto el ultimo video de RaioN?
Haider G99,i always fap to you voice mate
florianfn,pls make a new one
Sceeen,WHY IS THIS AMAZING YOUTUBER NOT AT 1 MILL YET?
OptimuS s,thanks Man you Really Help me ^^
DjMacgumby,Cool man thx
Ollee,You can carry the red crates on the hood of a vehicle if you time it right. This has gotten me a crate weapon a few times in a hot zone that I was rolling up to.
Jin He,no man when u play squads on NA i just get teamkilled by chinese every time
Captain Teemo,2:40 report motorbike
NickBoi,2:37 more like don't trust a motorbike
Jezzplays,youre insane
jayden rosen,One player I played with after we got scars mini 14 he drives us off a cliff
Honig Son,! CLICKBAIT !!! PUNCHING TIRES APPEARS 2 TIMES
HdBlazeLynx,"Very worth of watching full video,Thank u"
low yuxiang,"Hai newbie here,  can I know how to change from third person view to first person view?"
Adam Trembath,Love your Wideos
Plague,100 tips that can kill you or that you won’t need
Plague,How are these tips
WinDoSa,"Change the button layout for position in the car to F1-F2 etc. Buttons. Makes it much easier than ctrl+1,2 etc"
lovecrafts''cat,i think he understands the fact that he made a mistake with the mute tip seeing that he Favorited a comment mentioning it so can people stop commenting about it hes not stupid
Donovan Ferrell,Somebody copied you dude coconutbrah 100 tips and tricks
Eli George,why the fuck would you take a road bike off the road. let alone rock climbing
Wouter de vries,"ctrl+T swaps my mic settings from mute, unmute. ctrl+m is for master volume for me by default. Also 1.0 didn't change the loudness of the plane xD Still can't hear anybody talking besides people on the plane."
Random Bailey,Most important one is by far *DO NOT TRUST VEHICLES EVER*. Vehicles are so damn buggy and just all around fucked.
Zege,"The best video of this type, really nice ;D"
Jorzap,Awesome Video Dude Helps Me a lot Now Got 2 Chicken Dinner in a Row Thanks Dude
Ailithic,dem white legs aint gonna help haha
luis diaz,Picking gun fights properly
Big Dizzle 007,What does the compensator do
rick sanchez,Press W to walk forward
ExammmpL,What's the background song?
Jack Pykwell,"You said punch out tires twice, but anyway, good vid my dud"
Jason Schanne,Only noobs play in 3rd
Sabbing,Song in the background near the end? 😀I love that beat
Jonah Mosevoll,I went 90-400fps with the carachter render off
Fish and Cheese,Guys check out our channel for tips and guides for DUO's on the Xbox and PC. Somethings that work for squads and single will not maximize your chances of winning as a DUO.
Joe,I like your voice
Mr.BigBoss7,4:25 fuckers will go for first aid packs even when they packing 15 xD smh
